game_id,date,home_team,away_team,home_team_id,away_team_id,home_pitcher_id,away_pitcher_id,home_score,away_score,home_win
778270,2025-04-18,New York Mets,St. Louis Cardinals,121,138,656849.0,571945.0,5,4,1
778275,2025-04-18,Boston Red Sox,Chicago White Sox,111,145,690928.0,527048.0,10,3,1
778284,2025-04-18,Atlanta Braves,Minnesota Twins,144,142,693821.0,663978.0,6,4,1
778263,2025-04-18,Texas Rangers,Los Angeles Dodgers,140,119,594798.0,808967.0,0,3,0
778269,2025-04-18,Houston Astros,San Diego Padres,117,135,687473.0,606996.0,6,4,1
778261,2025-04-18,Milwaukee Brewers,Athletics,158,133,642547.0,669372.0,5,3,1
778260,2025-04-18,Los Angeles Angels,San Francisco Giants,108,137,542881.0,657277.0,2,0,1
778252,2025-04-19,Philadelphia Phillies,Miami Marlins,143,146,592836.0,615698.0,11,10,1
778265,2025-04-19,Detroit Tigers,Kansas City Royals,116,118,663554.0,607625.0,3,1,1
778257,2025-04-19,Chicago Cubs,Arizona Diamondbacks,112,109,676962.0,668678.0,6,2,1
778258,2025-04-19,Toronto Blue Jays,Seattle Mariners,141,136,621244.0,669302.0,4,8,0
778262,2025-04-19,Baltimore Orioles,Cincinnati Reds,110,113,687064.0,668881.0,9,5,1
778254,2025-04-19,Pittsburgh Pirates,Cleveland Guardians,134,114,694973.0,594902.0,0,3,0
778256,2025-04-19,New York Mets,St. Louis Cardinals,121,138,673540.0,669461.0,3,0,1
778251,2025-04-19,Texas Rangers,Los Angeles Dodgers,140,119,543135.0,808963.0,4,3,1
778247,2025-04-19,Colorado Rockies,Washington Nationals,115,120,801403.0,669022.0,11,12,0
778264,2025-04-19,Boston Red Sox,Chicago White Sox,111,145,676979.0,681343.0,4,3,1
778255,2025-04-19,Tampa Bay Rays,New York Yankees,139,147,669358.0,471911.0,10,8,1
778259,2025-04-19,Houston Astros,San Diego Padres,117,135,669713.0,650633.0,3,2,1
778253,2025-04-19,Milwaukee Brewers,Athletics,158,133,694477.0,622663.0,1,3,0
778267,2025-04-19,Atlanta Braves,Minnesota Twins,144,142,519242.0,623437.0,4,3,1
778243,2025-04-19,Los Angeles Angels,San Francisco Giants,108,137,543294.0,694738.0,2,3,0
778250,2025-04-20,Baltimore Orioles,Cincinnati Reds,110,113,450203.0,608718.0,2,24,0
778242,2025-04-20,Pittsburgh Pirates,Cleveland Guardians,134,114,656605.0,671106.0,4,5,0
