game_id,date,home_score,away_score,home_win
776545,2025-08-29,1,4,0
776552,2025-08-29,2,1,1
776546,2025-08-29,2,7,0
776549,2025-08-29,2,4,0
776547,2025-08-29,5,4,1
776548,2025-08-29,19,9,1
776544,2025-08-29,2,10,0
776543,2025-08-29,2,0,1
776540,2025-08-29,3,5,0
776541,2025-08-29,7,4,1
776542,2025-08-29,7,11,0
776538,2025-08-29,2,5,0
776534,2025-08-29,0,3,0
776533,2025-08-29,15,8,1
776527,2025-08-30,1,4,0
776525,2025-08-30,1,4,0
776539,2025-08-30,3,10,0
776535,2025-08-30,8,11,0
776532,2025-08-30,3,2,1
776536,2025-08-30,2,4,0
776531,2025-08-30,1,4,0
776530,2025-08-30,3,12,0
776529,2025-08-30,3,5,0
776528,2025-08-30,3,1,1
776537,2025-08-30,4,3,1
776516,2025-08-30,1,11,0
776526,2025-08-30,3,4,0
776523,2025-08-30,1,6,0
776524,2025-08-30,3,9,0
776518,2025-08-31,7,4,1
776513,2025-08-31,7,2,1
776517,2025-08-31,5,2,1
776520,2025-08-31,4,7,0
776515,2025-08-31,8,4,1
776521,2025-08-31,2,4,0
776519,2025-08-31,1,5,0
776510,2025-08-31,0,3,0
776512,2025-08-31,0,5,0
776514,2025-08-31,3,2,1
776511,2025-08-31,6,5,1
776507,2025-08-31,13,2,1
776508,2025-08-31,6,9,0
776509,2025-08-31,5,4,1
776522,2025-08-31,1,3,0
776498,2025-09-01,2,0,1
776501,2025-09-01,8,10,0
776503,2025-09-01,5,4,1
776505,2025-09-01,6,4,1
776499,2025-09-01,8,3,1
776502,2025-09-01,5,6,0
776497,2025-09-01,3,11,0
776506,2025-09-01,7,6,1
776492,2025-09-01,2,8,0
776500,2025-09-01,8,10,0
776494,2025-09-01,3,4,0
776504,2025-09-01,10,2,1
776495,2025-09-01,5,7,0
776490,2025-09-02,5,12,0
776496,2025-09-02,9,7,1
776491,2025-09-02,9,12,0
776493,2025-09-02,11,7,1
776482,2025-09-02,5,2,1
776485,2025-09-02,6,5,1
776488,2025-09-02,1,5,0
776487,2025-09-02,4,3,1
776484,2025-09-02,3,12,0
776483,2025-09-02,2,1,1
776489,2025-09-02,1,7,0
776486,2025-09-02,4,7,0
776480,2025-09-02,2,6,0
776481,2025-09-02,5,3,1
776477,2025-09-03,10,5,1
776478,2025-09-03,6,2,1
776468,2025-09-03,2,0,1
776465,2025-09-03,5,7,0
776479,2025-09-03,3,0,1
776475,2025-09-03,9,13,0
776474,2025-09-03,1,8,0
776476,2025-09-03,9,4,1
776466,2025-09-03,3,4,0
776473,2025-09-03,1,5,0
776469,2025-09-03,3,4,0
776471,2025-09-03,6,3,1
776470,2025-09-03,5,1,1
776472,2025-09-03,8,7,1
776467,2025-09-03,8,10,0
776459,2025-09-04,0,2,0
776461,2025-09-04,5,3,1
776458,2025-09-04,4,2,1
776463,2025-09-04,4,3,1
776462,2025-09-04,8,11,0
776464,2025-09-04,4,8,0
776455,2025-09-05,11,5,1
776450,2025-09-05,4,5,0
776452,2025-09-05,5,7,0
776453,2025-09-05,2,5,0
776454,2025-09-05,2,1,1
776457,2025-09-05,1,7,0
776456,2025-09-05,3,9,0
776460,2025-09-05,4,1,1
